APMC,Commodity,identifier,date,modal_price,quarter,deseasonalise_price
Malegaon,wheat(husked),Malegaon_wheat(husked),2014-09-01,1536.0,3,1527.8333333333333
Malegaon,wheat(husked),Malegaon_wheat(husked),2014-10-01,1509.0,4,1491.1875
Malegaon,wheat(husked),Malegaon_wheat(husked),2014-11-01,1494.0,4,1476.1875
Malegaon,wheat(husked),Malegaon_wheat(husked),2014-12-01,1483.0,4,1465.1875
Malegaon,wheat(husked),Malegaon_wheat(husked),2015-01-01,1520.0,1,1521.75
Malegaon,wheat(husked),Malegaon_wheat(husked),2015-02-01,1554.0,1,1555.75
Malegaon,wheat(husked),Malegaon_wheat(husked),2015-03-01,1526.0,1,1527.75
Malegaon,wheat(husked),Malegaon_wheat(husked),2015-04-01,1555.0,2,1551.75
Malegaon,wheat(husked),Malegaon_wheat(husked),2015-05-01,1543.0,2,1539.75
Malegaon,wheat(husked),Malegaon_wheat(husked),2015-06-01,1497.0,2,1493.75
Malegaon,wheat(husked),Malegaon_wheat(husked),2015-07-01,1528.0,3,1519.8333333333333
Malegaon,wheat(husked),Malegaon_wheat(husked),2015-08-01,1525.0,3,1516.8333333333333
Malegaon,wheat(husked),Malegaon_wheat(husked),2015-09-01,1545.0,3,1536.8333333333333
Malegaon,wheat(husked),Malegaon_wheat(husked),2015-10-01,1603.0,4,1585.1875
Malegaon,wheat(husked),Malegaon_wheat(husked),2015-11-01,1683.0,4,1665.1875
Malegaon,wheat(husked),Malegaon_wheat(husked),2015-12-01,1710.0,4,1692.1875
Malegaon,wheat(husked),Malegaon_wheat(husked),2016-01-01,1751.0,1,1752.75
Malegaon,wheat(husked),Malegaon_wheat(husked),2016-02-01,1679.0,1,1680.75
Malegaon,wheat(husked),Malegaon_wheat(husked),2016-03-01,1646.0,1,1647.75
Malegaon,wheat(husked),Malegaon_wheat(husked),2016-04-01,1655.0,2,1651.75
Malegaon,wheat(husked),Malegaon_wheat(husked),2016-05-01,1618.0,2,1614.75
Malegaon,wheat(husked),Malegaon_wheat(husked),2016-06-01,1714.0,2,1710.75
Malegaon,wheat(husked),Malegaon_wheat(husked),2016-07-01,1693.0,3,1684.8333333333333
Malegaon,wheat(husked),Malegaon_wheat(husked),2016-08-01,1776.0,3,1767.8333333333333
Malegaon,wheat(husked),Malegaon_wheat(husked),2016-09-01,1764.0,3,1755.8333333333333
Malegaon,wheat(husked),Malegaon_wheat(husked),2016-10-01,1807.0,4,1789.1875
Malegaon,wheat(husked),Malegaon_wheat(husked),2016-11-01,1937.0,4,1919.1875
Vai,cucumber,Vai_cucumber,2014-09-01,1040.0,3,1097.960970406204
Vai,cucumber,Vai_cucumber,2014-10-01,1236.0,4,1189.1277422242874
Vai,cucumber,Vai_cucumber,2014-11-01,1650.0,4,1587.427811221743
Vai,cucumber,Vai_cucumber,2014-12-01,2112.0,4,2031.9075983638309
Vai,cucumber,Vai_cucumber,2015-01-01,2160.0,1,2124.0605150400825
Vai,cucumber,Vai_cucumber,2015-02-01,2285.0,1,2246.9806837345313
Vai,cucumber,Vai_cucumber,2015-03-01,1613.0,1,1586.1618568331726
Vai,cucumber,Vai_cucumber,2015-04-01,907.0,2,902.857625504952
Vai,cucumber,Vai_cucumber,2015-05-01,1696.0,2,1688.2541707347284
Vai,cucumber,Vai_cucumber,2015-06-01,1969.0,2,1960.007347981533
Vai,cucumber,Vai_cucumber,2015-07-01,1378.0,3,1454.7982857882205
Vai,cucumber,Vai_cucumber,2015-08-01,1255.0,3,1324.9432864036405
Vai,cucumber,Vai_cucumber,2015-09-01,1267.0,3,1337.6120668314045
Vai,cucumber,Vai_cucumber,2015-10-01,1328.0,4,1277.6388686681664
Vai,cucumber,Vai_cucumber,2015-11-01,1545.0,4,1486.4096777803593
Vai,cucumber,Vai_cucumber,2015-12-01,1555.0,4,1496.0304523938244
Vai,cucumber,Vai_cucumber,2016-01-01,1856.0,1,1825.1186647751817
Vai,cucumber,Vai_cucumber,2016-02-01,1949.0,1,1916.571270283852
Vai,cucumber,Vai_cucumber,2016-03-01,2490.0,1,2448.569760393428
Vai,cucumber,Vai_cucumber,2016-04-01,2397.0,2,2386.052622199967
Vai,cucumber,Vai_cucumber,2016-05-01,2234.0,2,2223.7970621588343
Vai,cucumber,Vai_cucumber,2016-06-01,2165.0,2,2155.1121931843672
Vai,cucumber,Vai_cucumber,2016-07-01,1404.0,3,1482.2473100483755
Vai,cucumber,Vai_cucumber,2016-08-01,1479.0,3,1561.4271877218998
Vai,cucumber,Vai_cucumber,2016-09-01,1768.0,3,1866.533649690547
Vai,cucumber,Vai_cucumber,2016-10-01,1354.0,4,1302.6528826631757
Vai,cucumber,Vai_cucumber,2016-11-01,1336.0,4,1285.3354883589386
Kalamnuri,wheat(husked),Kalamnuri_wheat(husked),2014-09-01,1600.0,3,1600.0
Kalamnuri,wheat(husked),Kalamnuri_wheat(husked),2014-10-01,1600.0,4,1600.0
Kalamnuri,wheat(husked),Kalamnuri_wheat(husked),2014-11-01,1600.0,4,1600.0
Kalamnuri,wheat(husked),Kalamnuri_wheat(husked),2014-12-01,1600.0,4,1600.0
Kalamnuri,wheat(husked),Kalamnuri_wheat(husked),2015-01-01,1600.0,1,1600.0
Kalamnuri,wheat(husked),Kalamnuri_wheat(husked),2015-02-01,1600.0,1,1600.0
Kalamnuri,wheat(husked),Kalamnuri_wheat(husked),2015-03-01,1600.0,1,1600.0
Kalamnuri,wheat(husked),Kalamnuri_wheat(husked),2015-04-01,1600.0,2,1600.0
Kalamnuri,wheat(husked),Kalamnuri_wheat(husked),2015-05-01,1600.0,2,1600.0
Kalamnuri,wheat(husked),Kalamnuri_wheat(husked),2015-06-01,1600.0,2,1600.0
Kalamnuri,wheat(husked),Kalamnuri_wheat(husked),2015-07-01,1600.0,3,1600.0
Kalamnuri,wheat(husked),Kalamnuri_wheat(husked),2015-08-01,1600.0,3,1600.0
Kalamnuri,wheat(husked),Kalamnuri_wheat(husked),2015-09-01,1600.0,3,1600.0
Kalamnuri,wheat(husked),Kalamnuri_wheat(husked),2015-10-01,1600.0,4,1600.0
Kalamnuri,wheat(husked),Kalamnuri_wheat(husked),2015-11-01,1600.0,4,1600.0
Kalamnuri,wheat(husked),Kalamnuri_wheat(husked),2015-12-01,1600.0,4,1600.0
Kalamnuri,wheat(husked),Kalamnuri_wheat(husked),2016-01-01,1600.0,1,1600.0
Kalamnuri,wheat(husked),Kalamnuri_wheat(husked),2016-02-01,1600.0,1,1600.0
Kalamnuri,wheat(husked),Kalamnuri_wheat(husked),2016-03-01,1600.0,1,1600.0
Kalamnuri,wheat(husked),Kalamnuri_wheat(husked),2016-10-01,1600.0,4,1600.0
Kalamnuri,wheat(husked),Kalamnuri_wheat(husked),2016-11-01,1600.0,4,1600.0
Rahata,ladies finger,Rahata_ladies finger,2014-09-01,1992.0,3,2245.7083333333335
Rahata,ladies finger,Rahata_ladies finger,2014-10-01,1850.0,4,1630.9375
Rahata,ladies finger,Rahata_ladies finger,2014-11-01,3091.0,4,2871.9375
Rahata,ladies finger,Rahata_ladies finger,2014-12-01,3363.0,4,3143.9375
Rahata,ladies finger,Rahata_ladies finger,2015-01-01,3648.5,1,3753.6666666666665
Rahata,ladies finger,Rahata_ladies finger,2015-02-01,3358.0,1,3463.1666666666665
Rahata,ladies finger,Rahata_ladies finger,2015-03-01,2325.0,1,2430.1666666666665
Rahata,ladies finger,Rahata_ladies finger,2015-04-01,1767.0,2,1649.5416666666667
Rahata,ladies finger,Rahata_ladies finger,2015-05-01,1600.0,2,1482.5416666666667
Rahata,ladies finger,Rahata_ladies finger,2015-06-01,2229.0,2,2111.5416666666665
Rahata,ladies finger,Rahata_ladies finger,2015-07-01,1280.0,3,1533.7083333333333
Rahata,ladies finger,Rahata_ladies finger,2015-08-01,1264.0,3,1517.7083333333333
Rahata,ladies finger,Rahata_ladies finger,2015-09-01,2077.0,3,2330.7083333333335
Rahata,ladies finger,Rahata_ladies finger,2015-10-01,1933.0,4,1713.9375
Rahata,ladies finger,Rahata_ladies finger,2015-11-01,2350.0,4,2130.9375
Rahata,ladies finger,Rahata_ladies finger,2015-12-01,2367.0,4,2147.9375
Rahata,ladies finger,Rahata_ladies finger,2016-01-01,2218.0,1,2323.1666666666665
Rahata,ladies finger,Rahata_ladies finger,2016-02-01,2009.0,1,2114.1666666666665
